Human Marker Symbol	Human Entrez Gene ID	HomoloGene ID	Mouse Marker Symbol	MGI Marker Accession ID	High-level Mammalian Phenotype ID (space-delimited)
ABCC3	8714	68364	Abcc3	  MGI:1923658	  MP:0005376 MP:0010771 MP:0005386
ABCC4	10257	74563	Abcc4	  MGI:2443111	  MP:0005386 MP:0005397 MP:0005385 MP:0010768 MP:0005381 MP:0003631 MP:0005387 MP:0005367 MP:0005378 MP:0010771 MP:0005379 MP:0005376
ABCC5	10057	21164	Abcc5	  MGI:1351644	  MP:0005397 MP:0005386 MP:0005387 MP:0005376
ABCC6	368	55559	Abcc6	  MGI:1351634	  MP:0005382 MP:0005376 MP:0010771 MP:0005378 MP:0005391 MP:0005367 MP:0005385
ABCC8	6833	68048	Abcc8	  MGI:1352629	  MP:0005379 MP:0005376
ABCC9	10060	56521	Abcc9	  MGI:1352630	  MP:0005378 MP:0005369 MP:0005384 MP:0005376 MP:0010768 MP:0005385
ABCD1	215	55426	Abcd1	  MGI:1349215	  MP:0005397 MP:0005389 MP:0005386 MP:0005387 MP:0003631 MP:0005391 MP:0005379 MP:0005376
ABCD2	225	55873	Abcd2	  MGI:1349467	  MP:0003631 MP:0005387 MP:0005386 MP:0005397 MP:0005376
ABCD3	5825	2140	Abcd3	  MGI:1349216	  MP:0005378 MP:0005376 MP:0005384 MP:0005386 MP:0005370 MP:0005390
ABCD4	5826	3703	Abcd4	  MGI:1349217	  MP:0010771 MP:0005386
ABCE1	6059	2205	Abce1	  MGI:1195458	  MP:0005376 MP:0005379 MP:0005389 MP:0010768 MP:0003631 MP:0005387 MP:0005386
ABCF1	23	849	Abcf1	  MGI:1351658	  MP:0010768
ABCF2	10061	21408	Abcf2	  MGI:1351657	
ABCF3	55324	22784	Abcf3	  MGI:1351656	
ABCG1	9619	21022	Abcg1	  MGI:107704	  MP:0005376 MP:0005384 MP:0005378 MP:0005375 MP:0005370 MP:0005388 MP:0005386 MP:0005387 MP:0005397
ABCG2	9429	55852	Abcg2	  MGI:1347061	  MP:0005397 MP:0005386 MP:0005370 MP:0005367 MP:0005387 MP:0005375 MP:0010771 MP:0005384 MP:0005376
ABCG4	64137	75179	Abcg4	  MGI:1890594	  MP:0005376
ABCG5	64240	31909	Abcg5	  MGI:1351659	  MP:0005369 MP:0005384 MP:0005376 MP:0005378 MP:0005385 MP:0005397 MP:0005387 MP:0005386 MP:0005370 MP:0010768 MP:0005389
ABCG8	64241	23361	Abcg8	  MGI:1914720	  MP:0005370 MP:0005376
ABHD1	84696	NA	Abhd1	  MGI:1931013	
ABHD10	55347	10173	Abhd10	  MGI:2442422	  MP:0005389
ABHD11	83451	5961	Abhd11	  MGI:1916008	  MP:0005379 MP:0005367 MP:0005390 MP:0005391 MP:0003631 MP:0005389
ABHD12	26090	22910	Abhd12	  MGI:1923442	  MP:0005377 MP:0003631 MP:0005387 MP:0005386 MP:0005397 MP:0005369 MP:0005376
ABHD12B	145447	128243	Abhd12b	  MGI:2685650	
ABHD13	84945	6716	Abhd13	  MGI:1916154	
ABHD14A	25864	22889	Abhd14a	  MGI:1915894	  MP:0005376
ABHD14B	84836	9125	Abhd14b	  MGI:1923741	
ABHD15	116236	12142	Abhd15	  MGI:1914727	  MP:0005386
ABHD16A	7920	10904	Abhd16a	  MGI:99476	  MP:0005397 MP:0010768 MP:0005389 MP:0005390 MP:0005376 MP:0005387 MP:0005375 MP:0005378
ABHD16B	140701	15422	Abhd16b	  MGI:3607711	
ABHD17A	81926	50272	Abhd17a	  MGI:106388	  MP:0005376 MP:0005397 MP:0005387
ABHD17B	51104	41089	Abhd17b	  MGI:1917816	
ABHD17C	58489	26429	Abhd17c	  MGI:1917428	
ABHD18	80167	105457	Abhd18	  MGI:1915468	
ABHD2	11057	23121	Abhd2	  MGI:1914344	  MP:0005384 MP:0005376 MP:0005385
ABHD3	171586	14055	Abhd3	  MGI:2147183	
ABHD4	63874	56937	Abhd4	  MGI:1915938	
ABHD5	51099	41088	Abhd5	  MGI:1914719	  MP:0005387 MP:0005390 MP:0005385 MP:0005397 MP:0005389 MP:0010768 MP:0005370 MP:0005376 MP:0005384 MP:0005369 MP:0005382 MP:0005378 MP:0010771 MP:0005379
ABHD6	57406	23246	Abhd6	  MGI:1913332	  MP:0005370 MP:0005386 MP:0005376 MP:0005378 MP:0005379 MP:0005375 MP:0005369 MP:0005384
ABHD8	79575	11188	Abhd8	  MGI:1918946	  MP:0005390 MP:0005386 MP:0005378
ABI1	10006	38053	Abi1	  MGI:104913	  MP:0003631 MP:0005380 MP:0005378 MP:0005385 MP:0010768 MP:0005369 MP:0005376
ABI2	10152	4209	Abi2	  MGI:106913	  MP:0005379 MP:0005386 MP:0005367 MP:0003631 MP:0005391 MP:0005389 MP:0001186
ABI3	51225	9505	Abi3	  MGI:1913860	
ABI3BP	25890	134172	Abi3bp	  MGI:2444583	  MP:0010768 MP:0005386 MP:0005390 MP:0005371
ABITRAM	54942	56788	Abitram	  MGI:2677850	  MP:0005390
ABL1	25	3783	Abl1	  MGI:87859	  MP:0005385 MP:0005397 MP:0010768 MP:0002006 MP:0005388 MP:0005370 MP:0005387 MP:0005390 MP:0005381 MP:0003631 MP:0005382 MP:0005391 MP:0005378 MP:0005379 MP:0005376 MP:0005384 MP:0005369
ABL2	27	5278	Abl2	  MGI:87860	  MP:0005386 MP:0005389 MP:0003631 MP:0005378
ABLIM1	3983	40994	Ablim1	  MGI:1194500	
ABLIM2	84448	82366	Ablim2	  MGI:2385758	
ABLIM3	22885	69175	Ablim3	  MGI:2442582	
ABO	28	69306	Abo	  MGI:2135738	
ABR	29	11081	Abr	  MGI:107771	
ABRA	137735	34713	Abra	  MGI:2444891	  MP:0005376 MP:0005385
ABRACL	58527	64011	Abracl	  MGI:1920362	
ABRAXAS1	84142	16376	Abraxas1	  MGI:1917931	  MP:0010768 MP:0002006 MP:0005388 MP:0005384 MP:0005376
ABRAXAS2	23172	12970	Abraxas2	  MGI:1926116	  MP:0005376 MP:0005387 MP:0005397
ABT1	29777	134288	Abt1	  MGI:1353636	
ABTB1	80325	32731	Abtb1	  MGI:1933148	
ABTB2	25841	15904	Abtb2	  MGI:2139365	  MP:0005387 MP:0005386 MP:0005397
ACAA1	30	37497	Acaa1a	  MGI:2148491	  MP:0005397 MP:0005376
ACAA1	30	91131	Acaa1b	  MGI:3605455	
ACAA2	10449	4456	Acaa2	  MGI:1098623	
ACACA	31	31015	Acaca	  MGI:108451	  MP:0005378 MP:0005376 MP:0005380 MP:0005370 MP:0005397 MP:0010768 MP:0005387
ACACB	32	74382	Acacb	  MGI:2140940	  MP:0005369 MP:0005384 MP:0005376 MP:0005375 MP:0010771 MP:0005385 MP:0005378 MP:0005370 MP:0005386
ACAD10	80724	49825	Acad10	  MGI:1919235	
ACAD11	84129	49896	Acad11	  MGI:2143169	
ACAD8	27034	8662	Acad8	  MGI:1914198	  MP:0005375 MP:0005367 MP:0005376 MP:0005384 MP:0005370
ACAD9	28976	8539	Acad9	  MGI:1914272	
ACADL	33	37498	Acadl	  MGI:87866	  MP:0010768 MP:0005389 MP:0005385 MP:0005370 MP:0005367 MP:0005376
ACADM	34	3	Acadm	  MGI:87867	  MP:0010771 MP:0005376 MP:0005369 MP:0010768 MP:0005385 MP:0005370
ACADS	35	20057	Acads	  MGI:87868	  MP:0003631 MP:0005367 MP:0005386 MP:0005370 MP:0005369 MP:0005384 MP:0005376
ACADSB	36	1216	Acadsb	  MGI:1914135	  MP:0005378
ACADVL	37	5	Acadvl	  MGI:895149	  MP:0005369 MP:0005384 MP:0005376 MP:0005385 MP:0005378 MP:0002006 MP:0005375 MP:0005370 MP:0005386 MP:0010768
ACAN	176	137204	Acan	  MGI:99602	  MP:0005378 MP:0005369 MP:0005382 MP:0005387 MP:0005376 MP:0005390 MP:0005386 MP:0005370 MP:0005388 MP:0010768 MP:0005385 MP:0005371 MP:0005377 MP:0003631 MP:0005381
ACAP1	9744	22835	Acap1	  MGI:2388270	  MP:0005376 MP:0005397 MP:0005387
ACAP2	23527	8182	Acap2	  MGI:1925868	
ACAP3	116983	23708	Acap3	  MGI:2153589	  MP:0005378
ACAT1	38	6	Acat1	  MGI:87870	
ACAT2	39	55855	Acat2	  MGI:87871	  MP:0010768 MP:0005380 MP:0005378
ACAT2	39	55855	Acat3	  MGI:109182	
ACBD3	64746	11227	Acbd3	  MGI:2181074	  MP:0005391 MP:0005367 MP:0005386 MP:0010768 MP:0005397 MP:0005376
ACBD4	79777	32596	Acbd4	  MGI:1914381	
ACBD5	91452	12541	Acbd5	  MGI:1921409	  MP:0005390
ACBD6	84320	12465	Acbd6	  MGI:1919732	
ACBD7	414149	82242	Acbd7	  MGI:1925495	
ACCS	84680	75335	Accs	  MGI:1919717	
ACCSL	390110	86007	Accsl	  MGI:3584519	
ACD	65057	23391	Acd	  MGI:87873	  MP:0010771 MP:0005378 MP:0005379 MP:0005382 MP:0005384 MP:0005376 MP:0005367 MP:0005386 MP:0010768 MP:0005389 MP:0002006 MP:0001186 MP:0005377 MP:0005371 MP:0005381
ACE	1636	37351	Ace	  MGI:87874	  MP:0005378 MP:0005375 MP:0005379 MP:0005376 MP:0010768 MP:0005389 MP:0005385 MP:0005397 MP:0002006 MP:0005380 MP:0005386 MP:0005387 MP:0005367
ACE2	59272	41448	Ace2	  MGI:1917258	  MP:0005381 MP:0005387 MP:0005388 MP:0001186 MP:0010768 MP:0010771 MP:0005385 MP:0005378 MP:0005369 MP:0005384 MP:0005376
ACE3P	100129123	80337	Ace3	  MGI:3644400	
ACER1	125981	15853	Acer1	  MGI:2181962	  MP:0005397 MP:0005386 MP:0005387 MP:0005390 MP:0010771 MP:0005378 MP:0005379 MP:0005375 MP:0005384 MP:0005376
ACER2	340485	14986	Acer2	  MGI:1920932	  MP:0005376
ACER3	55331	5410	Acer3	  MGI:1913440	  MP:0003631 MP:0005386 MP:0005376
ACHE	43	543	Ache	  MGI:87876	  MP:0005388 MP:0005386 MP:0005389 MP:0010768 MP:0005397 MP:0003631 MP:0005377 MP:0005391 MP:0005376 MP:0005378 MP:0005375 MP:0005369 MP:0005382
ACIN1	22985	22853	Acin1	  MGI:1891824	
ACKR1	2532	48067	Ackr1	  MGI:1097689	  MP:0005376 MP:0005387 MP:0005390
ACKR2	1238	992	Ackr2	  MGI:1891697	  MP:0010771 MP:0005387
ACKR3	57007	22419	Ackr3	  MGI:109562	  MP:0005387 MP:0005385 MP:0005397 MP:0010768 MP:0005386 MP:0005388 MP:0005376 MP:0005369
ACKR4	51554	49474	Ackr4	  MGI:2181676	  MP:0005387 MP:0005376 MP:0005384 MP:0005397
ACLY	47	854	Acly	  MGI:103251	  MP:0010768
ACMSD	130013	44520	Acmsd	  MGI:2386323	  MP:0005376 MP:0005390
ACO1	48	1657	Aco1	  MGI:87879	  MP:0005376 MP:0005381 MP:0010768 MP:0005397 MP:0005370 MP:0005387
ACO2	50	856	Aco2	  MGI:87880	
ACOD1	730249	35405	Acod1	  MGI:103206	  MP:0005397 MP:0005386 MP:0005387
ACOT1	641371	22686	Acot1	  MGI:1349396	
ACOT11	26027	11977	Acot11	  MGI:1913736	  MP:0005378 MP:0005375 MP:0005376 MP:0005384 MP:0005370 MP:0005386 MP:0005387
ACOT12	134526	12540	Acot12	  MGI:1921406	
ACOT13	55856	41273	Acot13	  MGI:1914084	  MP:0005381 MP:0005370 MP:0005386 MP:0005375 MP:0005376 MP:0005378
ACOT2	10965	25661	Acot2	  MGI:2159605	  MP:0005386
ACOT4	122970	44237	Acot4	  MGI:2159621	
ACOT6	641372	72506	Acot6	  MGI:1921287	
ACOT7	11332	15780	Acot7	  MGI:1917275	  MP:0003631 MP:0005370 MP:0005386 MP:0005378 MP:0005376 MP:0005375
ACOT8	10005	3991	Acot8	  MGI:2158201	
ACOT9	23597	8206	Acot9	  MGI:1928939	
ACOX1	51	38299	Acox1	  MGI:1330812	  MP:0005376 MP:0005384 MP:0002006 MP:0005379 MP:0005378 MP:0005389 MP:0005387 MP:0005370
ACOX2	8309	74473	Acox2	  MGI:1934852	
ACOX3	8310	37792	Acox3	  MGI:1933156	  MP:0005391
ACOXL	55289	75083	Acoxl	  MGI:1921371	
ACP1	52	38274	Acp1	  MGI:87881	  MP:0005378 MP:0005376 MP:0005384 MP:0005369 MP:0005385 MP:0005387
ACP2	53	1217	Acp2	  MGI:87882	  MP:0010771 MP:0005378 MP:0005384 MP:0005397 MP:0005386 MP:0005387 MP:0005390 MP:0005367 MP:0003631
ACP3	55	55552	Acpp	  MGI:1928480	  MP:0005386 MP:0010771 MP:0005389 MP:0002006 MP:0005379
ACP4	93650	57200	Acp4	  MGI:3644563	
ACP5	54	137203	Acp5	  MGI:87883	  MP:0005397 MP:0005387 MP:0005390 MP:0005371
ACP6	51205	41128	Acp6	  MGI:1931010	
ACP7	390928	23924	Acp7	  MGI:2142121	
ACR	49	855	Acr	  MGI:87884	  MP:0005389
ACRBP	84519	9641	Acrbp	  MGI:1859515	  MP:0005389
ACRV1	56	1219	Acrv1	  MGI:104590	
ACSBG1	23205	9044	Acsbg1	  MGI:2385656	  MP:0005379 MP:0005376 MP:0005389
ACSBG2	81616	57133	Acsbg2	  MGI:3587728	  MP:0005390 MP:0005386
ACSF2	80221	23519	Acsf2	  MGI:2388287	  MP:0005375 MP:0005397 MP:0005390 MP:0005386
ACSF3	197322	14958	Acsf3	  MGI:2182591	
ACSL1	2180	37561	Acsl1	  MGI:102797	  MP:0005388 MP:0005386 MP:0005385 MP:0010768 MP:0005384 MP:0005378 MP:0005375 MP:0005369 MP:0005376
ACSL3	2181	3278	Acsl3	  MGI:1921455	  MP:0005378 MP:0005387 MP:0005397
ACSL4	2182	56282	Acsl4	  MGI:1354713	  MP:0010768 MP:0005389 MP:0005385 MP:0005397 MP:0005390 MP:0005371 MP:0005377 MP:0005378 MP:0005379 MP:0005376
ACSL5	51703	69208	Acsl5	  MGI:1919129	  MP:0005390 MP:0005391 MP:0005397 MP:0005385 MP:0005376
ACSL6	23305	100939	Acsl6	  MGI:894291	  MP:0005386 MP:0005397 MP:0003631 MP:0005387 MP:0005376
ACSM1	116285	24930	Acsm1	  MGI:2152200	
ACSM2A	123876	70404	Acsm2	  MGI:2385289	  MP:0003631 MP:0005376 MP:0010771
ACSM2B	348158	70404	Acsm2	  MGI:2385289	  MP:0003631 MP:0005376 MP:0010771
ACSM3	6296	74559	Acsm3	  MGI:99538	
ACSM4	341392	72281	Acsm4	  MGI:2681844	
ACSM5	54988	69242	Acsm5	  MGI:2444086	
ACSS1	84532	56037	Acss1	  MGI:1915988	  MP:0005386 MP:0010768 MP:0005378 MP:0005384 MP:0005376
ACSS2	55902	6469	Acss2	  MGI:1890410	
ACSS3	79611	11587	Acss3	  MGI:2685720	
ACTA1	58	121702	Acta1	  MGI:87902	  MP:0005390 MP:0005391 MP:0010768 MP:0005386 MP:0005370 MP:0005376 MP:0005369 MP:0005382 MP:0005378 MP:0005375
ACTA2	59	133938	Acta2	  MGI:87909	  MP:0005369 MP:0005391 MP:0005385
ACTB	60	110648	Actb	  MGI:87904	  MP:0005369 MP:0002006 MP:0005379 MP:0005385 MP:0005378 MP:0005389 MP:0010768 MP:0010771 MP:0003631 MP:0005377 MP:0005370 MP:0005380
ACTBL2	345651	134276	Actbl2	  MGI:2444552	
ACTC1	70	68446	Actc1	  MGI:87905	  MP:0005385 MP:0010768 MP:0005384 MP:0005369 MP:0005378
ACTG1	71	74402	Actg1	  MGI:87906	  MP:0005377 MP:0003631 MP:0005380 MP:0005386 MP:0010768 MP:0010771 MP:0005369 MP:0005378
ACTG2	72	123845	Actg2	  MGI:104589	
ACTL10	170487	128516	Actl10	  MGI:1917612	
ACTL6A	86	55811	Actl6a	  MGI:1861453	  MP:0005387 MP:0010768 MP:0005397 MP:0005384
ACTL6B	51412	81844	Actl6b	  MGI:1933548	  MP:0005386 MP:0003631 MP:0010768
ACTL7A	10881	7613	Actl7a	  MGI:1343051	
ACTL7B	10880	21330	Actl7b	  MGI:1343053	  MP:0005389
ACTL9	284382	77642	Actl9	  MGI:1916731	
ACTN1	87	55553	Actn1	  MGI:2137706	
ACTN2	88	31016	Actn2	  MGI:109192	
ACTN3	89	862	Actn3	  MGI:99678	  MP:0005376 MP:0005369
ACTN4	81	55857	Actn4	  MGI:1890773	  MP:0005367 MP:0005390 MP:0005387 MP:0005391 MP:0005381 MP:0005377 MP:0003631 MP:0002006 MP:0005385 MP:0005397 MP:0010768 MP:0005370 MP:0005388 MP:0005380 MP:0005376 MP:0005384 MP:0005382 MP:0005369 MP:0005379 MP:0005378
ACTR10	55860	10220	Actr10	  MGI:1891654	
ACTR1A	10121	21173	Actr1a	  MGI:1858964	
ACTR1B	10120	101541	Actr1b	  MGI:1917446	
ACTR2	10097	4181	Actr2	  MGI:1913963	
ACTR3	10096	68483	Actr3	  MGI:1921367	  MP:0005380 MP:0010768
ACTR3B	57180	4180	Actr3b	  MGI:2661120	
ACTR5	79913	6818	Actr5	  MGI:1924748	  MP:0005378 MP:0005390 MP:0005380 MP:0005386 MP:0010768 MP:0003631
ACTR6	64431	6451	Actr6	  MGI:1914269	  MP:0010768
ACTR8	93973	11286	Actr8	  MGI:1860775	  MP:0010768
ACTRT1	139741	23648	Actrt1	  MGI:1920610	
ACTRT2	140625	23647	Actrt2	  MGI:1920603	
ACTRT3	84517	13038	Actrt3	  MGI:1923902	  MP:0010771 MP:0005385 MP:0005391 MP:0005386
ACVR1	90	7	Acvr1	  MGI:87911	  MP:0005384 MP:0005376 MP:0005382 MP:0005369 MP:0005378 MP:0005380 MP:0005390 MP:0005387 MP:0003631 MP:0005377 MP:0005371 MP:0005381 MP:0002006 MP:0010768 MP:0005385 MP:0005386
ACVR1B	91	20906	Acvr1b	  MGI:1338944	  MP:0010768 MP:0005389 MP:0005380 MP:0005390 MP:0003631 MP:0005382 MP:0005378 MP:0010771 MP:0005379 MP:0005384
ACVR1C	130399	26724	Acvr1c	  MGI:2661081	
ACVR2A	92	20391	Acvr2a	  MGI:102806	  MP:0005380 MP:0005389 MP:0010768 MP:0005391 MP:0005381 MP:0005390 MP:0005384 MP:0005376 MP:0005379 MP:0005378 MP:0005382
ACVR2B	93	863	Acvr2b	  MGI:87912	  MP:0010771 MP:0005378 MP:0005369 MP:0005376 MP:0005387 MP:0005370 MP:0005388 MP:0005386 MP:0005380 MP:0010768 MP:0005385 MP:0005397 MP:0005391 MP:0005367 MP:0005390
ACVRL1	94	20058	Acvrl1	  MGI:1338946	  MP:0005378 MP:0005382 MP:0005369 MP:0005376 MP:0005388 MP:0005370 MP:0005380 MP:0010768 MP:0005397 MP:0005385 MP:0003631 MP:0005381
ACY1	95	110440	Acy1	  MGI:87913	
ACY3	91703	12401	Acy3	  MGI:1918920	
ACYP1	97	11932	Acyp1	  MGI:1913454	
ACYP2	98	41776	Acyp2	  MGI:1922822	
ADA	100	37249	Ada	  MGI:87916	  MP:0005381 MP:0005387 MP:0005367 MP:0005390 MP:0005380 MP:0005388 MP:0005370 MP:0005397 MP:0005385 MP:0005389 MP:0010768 MP:0005379 MP:0005369 MP:0005376 MP:0005384 MP:0005378
ADAD1	132612	7569	Adad1	  MGI:103258	  MP:0005384 MP:0005376 MP:0010768 MP:0005389
ADAD2	161931	16392	Adad2	  MGI:1923023	  MP:0005386 MP:0005389
ADAL	161823	13827	Adal	  MGI:1923144	  MP:0005376 MP:0005390 MP:0005371
ADAM10	102	865	Adam10	  MGI:109548	  MP:0005381 MP:0003631 MP:0005390 MP:0005387 MP:0005380 MP:0005379 MP:0005397 MP:0005385 MP:0005378 MP:0010768 MP:0005382 MP:0005376 MP:0005384
ADAM11	4185	7614	Adam11	  MGI:1098667	  MP:0005386
ADAM12	8038	74862	Adam12	  MGI:105378	  MP:0005375 MP:0005369 MP:0010768
ADAM15	8751	2829	Adam15	  MGI:1333882	  MP:0002006 MP:0005385 MP:0005391
ADAM17	6868	2395	Adam17	  MGI:1096335	  MP:0005376 MP:0005384 MP:0005369 MP:0005378 MP:0010771 MP:0005379 MP:0005388 MP:0005387 MP:0005390 MP:0005381 MP:0003631 MP:0005371 MP:0005391 MP:0005397 MP:0005385 MP:0010768 MP:0005389 MP:0001186 MP:0005380
ADAM18	8749	74941	Adam18	  MGI:105986	  MP:0005386
ADAM19	8728	74925	Adam19	  MGI:105377	  MP:0005379 MP:0005369 MP:0005376 MP:0005385 MP:0010768
ADAM1A	8759	73803	Adam1a	  MGI:2429504	  MP:0005389 MP:0005384
ADAM1B	100420505	136485	Adam1b	  MGI:2429506	
ADAM2	2515	1127	Adam2	  MGI:1340894	  MP:0005384 MP:0005389
ADAM20	8748	128364	Adam20	  MGI:2152342	
ADAM20	8748	128364	Adam25	  MGI:1345157	
ADAM20	8748	128364	Adam39	  MGI:3045694	
ADAM21	8747	68365	Adam21	  MGI:1861229	
ADAM22	53616	37898	Adam22	  MGI:1340046	  MP:0003631 MP:0010768 MP:0005386 MP:0005378
ADAM23	8745	2826	Adam23	  MGI:1345162	  MP:0005390 MP:0010768 MP:0005386 MP:0005382 MP:0005378
ADAM24P	646479	137232	Adam24	  MGI:105984	  MP:0005389
ADAM28	10863	40705	Adam28	  MGI:105988	
ADAM29	11086	8607	Adam29	  MGI:2676326	
ADAM30	11085	11038	Adam30	  MGI:1918328	
ADAM32	203102	17021	Adam32	  MGI:2653822	  MP:0005386 MP:0005390 MP:0005391 MP:0005375 MP:0005378
ADAM33	80332	11881	Adam33	  MGI:1341813	
ADAM3A	1587	69052	Adam3	  MGI:102518	  MP:0005389 MP:0005384
ADAM5	255926	49138	Adam5	  MGI:104730	
ADAM6	8755	128362	Adam6a	  MGI:2676316	
ADAM7	8756	2830	Adam7	  MGI:107247	  MP:0005387 MP:0005389 MP:0005384
ADAM8	101	74384	Adam8	  MGI:107825	  MP:0005385 MP:0005397 MP:0005376 MP:0005387 MP:0005390 MP:0005384
