ensembl_gene_id	hsapiens_homolog_associated_gene_name
363	ENSRNOG00000058628	VN1R5
364	ENSRNOG00000006395	TLDC2
365	ENSRNOG00000035521	MIR187
366	ENSRNOG00000021912	GPR152
367	ENSRNOG00000060627	SNORD62B
368	ENSRNOG00000015290	TPI1
369	ENSRNOG00000005362	RAB3IP
370	ENSRNOG00000018385	CHRM1
371	ENSRNOG00000032570	SMC1B
372	ENSRNOG00000009233	ANKRD49
373	ENSRNOG00000055753	SNORD116-6
374	ENSRNOG00000055753	SNORD116-9
375	ENSRNOG00000055753	SNORD116-3
376	ENSRNOG00000055753	SNORD116-5
377	ENSRNOG00000055753	SNORD116-1
378	ENSRNOG00000055753	SNORD116-7
379	ENSRNOG00000055753	SNORD116-2
380	ENSRNOG00000055753	SNORD116-8
381	ENSRNOG00000055753	SNORD116-4
382	ENSRNOG00000019301	LIPM
383	ENSRNOG00000003956	ARHGAP6
384	ENSRNOG00000004127	CEP170
385	ENSRNOG00000051970	AQP5
386	ENSRNOG00000057771	RNU6-560P
387	ENSRNOG00000031331	FPR3
388	ENSRNOG00000003555	OR10Z1
389	ENSRNOG00000012514	ABHD17B
390	ENSRNOG00000036562	MIR374B
391	ENSRNOG00000026912	SCGB3A2
392	ENSRNOG00000048508	OR8G5
393	ENSRNOG00000048508	OR8G1
394	ENSRNOG00000020412	SF3B2
395	ENSRNOG00000006126	NUP88
396	ENSRNOG00000003443	KLF1
397	ENSRNOG00000024535	ZZEF1
398	ENSRNOG00000019232	C9orf64
399	ENSRNOG00000011747	TMEM205
400	ENSRNOG00000013247	OR13A1
401	ENSRNOG00000008467	AGBL2
402	ENSRNOG00000012204	KIAA0319L
403	ENSRNOG00000059018	RF00002
404	ENSRNOG00000016953	CHST4
405	ENSRNOG00000048800	NR3C1
406	ENSRNOG00000008898	TRMT44
407	ENSRNOG00000019719	KCNA5
408	ENSRNOG00000048418	SEMG2
409	ENSRNOG00000048418	SEMG1
410	ENSRNOG00000031956	CLDN34
411	ENSRNOG00000015085	DMPK
412	ENSRNOG00000042758	TMEM243
413	ENSRNOG00000003905	NSF
414	ENSRNOG00000024470	LMAN1
415	ENSRNOG00000020907	ZP1
416	ENSRNOG00000001157	UMODL1
417	ENSRNOG00000027478	KRTAP11-1
418	ENSRNOG00000004968	NCAPG2
419	ENSRNOG00000029466	KIAA1328
420	ENSRNOG00000027836	KCNMB3
421	ENSRNOG00000007681	BRD3
422	ENSRNOG00000013133	FOXA2
423	ENSRNOG00000058670	KDF1
424	ENSRNOG00000059765	ASIC1
425	ENSRNOG00000052880	PRPH
426	ENSRNOG00000004509	EAPP
427	ENSRNOG00000032454	RPS12
428	ENSRNOG00000015670	STX7
429	ENSRNOG00000006761	SH3GL2
430	ENSRNOG00000014970	KIF17
431	ENSRNOG00000018205	TTL
432	ENSRNOG00000050188	PITPNC1
433	ENSRNOG00000051372	MYCN
434	ENSRNOG00000025857	MS4A5
435	ENSRNOG00000031161	DPPA3
436	ENSRNOG00000020843	FTL
437	ENSRNOG00000054725	GTF3C4
438	ENSRNOG00000046185	OR5D18
439	ENSRNOG00000007979	PHOSPHO2
440	ENSRNOG00000010607	RNF208
441	ENSRNOG00000009324	WDR54
442	ENSRNOG00000047396	RMND5B
443	ENSRNOG00000002911	ALB
444	ENSRNOG00000005015	RABEP1
445	ENSRNOG00000017869	IRF8
446	ENSRNOG00000027096	CTSW
447	ENSRNOG00000009712	GALE
448	ENSRNOG00000042944	CENPW
449	ENSRNOG00000008156	TGS1
450	ENSRNOG00000043102	BAHCC1
451	ENSRNOG00000010078	SPAG1
452	ENSRNOG00000012767	MICU3
453	ENSRNOG00000024127	ATP13A5
454	ENSRNOG00000005679	FAP
455	ENSRNOG00000046330	RNF130
456	ENSRNOG00000007127	BBS5
457	ENSRNOG00000008989	CRYL1
458	ENSRNOG00000025843	CCDC102A
459	ENSRNOG00000032446	RECQL4
460	ENSRNOG00000056904	GTF3C2
461	ENSRNOG00000002291	BRWD3
462	ENSRNOG00000048320	AC024592.3
463	ENSRNOG00000048320	NDUFA11
464	ENSRNOG00000005184	NOP10
465	ENSRNOG00000029995	HERPUD2
466	ENSRNOG00000013167	HMGB2
467	ENSRNOG00000012648	PPP1R14D
468	ENSRNOG00000014683	IL1RL2
469	ENSRNOG00000011875	SLC2A2
470	ENSRNOG00000004595	AC139768.1
471	ENSRNOG00000015321	MOXD1
472	ENSRNOG00000001222	UBE2G2
473	ENSRNOG00000025624	ARHGAP20
474	ENSRNOG00000008841	ORC1
475	ENSRNOG00000015059	MCFD2
476	ENSRNOG00000000871	CD40LG
477	ENSRNOG00000003786	TSPAN6
478	ENSRNOG00000053350	RF01518
479	ENSRNOG00000026953	GPR88
480	ENSRNOG00000021712	RCBTB1
481	ENSRNOG00000031993	AC117378.1
482	ENSRNOG00000031993	PRIM1
483	ENSRNOG00000000585	AMD1
484	ENSRNOG00000045929	SPATC1L
485	ENSRNOG00000059595	RNU6-1315P
486	ENSRNOG00000014481	ADTRP
487	ENSRNOG00000018069	NGDN
488	ENSRNOG00000045860	U2AF1
489	ENSRNOG00000043056	FPR3
490	ENSRNOG00000053486	DQX1
491	ENSRNOG00000037399	CXorf66
492	ENSRNOG00000056354	RN7SKP57
493	ENSRNOG00000008960	FGF22
494	ENSRNOG00000029884	OR8K3
495	ENSRNOG00000054072	RNU6-11P
496	ENSRNOG00000012347	GATA2
497	ENSRNOG00000025174	KAT6A
498	ENSRNOG00000017956	GOLGA7
499	ENSRNOG00000060900	RN7SKP32
500	ENSRNOG00000001052	SLC25A30
501	ENSRNOG00000015774	MREG
502	ENSRNOG00000004222	S100G
503	ENSRNOG00000022354	PUSL1
504	ENSRNOG00000018475	EIF4ENIF1
505	ENSRNOG00000012720	IRX4
506	ENSRNOG00000003098	PROM1
507	ENSRNOG00000038212	SOCS6
508	ENSRNOG00000024623	C4orf17
509	ENSRNOG00000057625	RN7SKP44
510	ENSRNOG00000014741	KCNU1
511	ENSRNOG00000003403	SLC35F5
512	ENSRNOG00000023320	TSPAN1
513	ENSRNOG00000024671	DMXL1
514	ENSRNOG00000015877	FIGLA
515	ENSRNOG00000019282	UBQLN1
516	ENSRNOG00000011070	GNB4
517	ENSRNOG00000014019	TBC1D7
518	ENSRNOG00000054385	RHEBL1
519	ENSRNOG00000018651	AGTPBP1
520	ENSRNOG00000004273	IFITM3
521	ENSRNOG00000004273	IFITM1
522	ENSRNOG00000004273	IFITM2
523	ENSRNOG00000039241	YTHDC2
524	ENSRNOG00000018755	ACSS2
525	ENSRNOG00000032580	SIRPB1
526	ENSRNOG00000032580	SIRPA
527	ENSRNOG00000032580	AL049634.2
528	ENSRNOG00000032580	SIRPG
529	ENSRNOG00000010079	CA3
530	ENSRNOG00000045965	N4BP3
531	ENSRNOG00000008135	PLA2G4F
532	ENSRNOG00000031915	HDAC10
533	ENSRNOG00000039279	NHLRC4
534	ENSRNOG00000050158	CRACR2B
535	ENSRNOG00000060325	LEFTY1
536	ENSRNOG00000060325	LEFTY2
537	ENSRNOG00000012163	PLEKHM2
538	ENSRNOG00000009474	DDX42
539	ENSRNOG00000061101	RIPPLY1
540	ENSRNOG00000001681	VPS26C
541	ENSRNOG00000053769	SOAT2
542	ENSRNOG00000011624	KCNQ2
543	ENSRNOG00000012757	NEK3
544	ENSRNOG00000005062	AC008982.1
545	ENSRNOG00000028274	MYRF
546	ENSRNOG00000025302	CDCA2
547	ENSRNOG00000038259	PSMB3
548	ENSRNOG00000011784	MOCS1
549	ENSRNOG00000048250	TMEM159
550	ENSRNOG00000050283	OR8G5
551	ENSRNOG00000050283	OR8G1
552	ENSRNOG00000012645	MECOM
553	ENSRNOG00000059965	OR4P4
554	ENSRNOG00000061004	ASPHD2
555	ENSRNOG00000022863	LINGO4
556	ENSRNOG00000013967	BLNK
557	ENSRNOG00000025528	EFR3A
558	ENSRNOG00000002488	GALNT10
559	ENSRNOG00000055756	BCAP31
560	ENSRNOG00000049959	IGSF21
561	ENSRNOG00000052386	NLRX1
562	ENSRNOG00000018129	NDUFAB1
563	ENSRNOG00000031593	NANOS3
564	ENSRNOG00000006019	G0S2
565	ENSRNOG00000008749	COL5A1
566	ENSRNOG00000002144	EXOC1
567	ENSRNOG00000025059	NXPH4
568	ENSRNOG00000019798	STUB1
569	ENSRNOG00000019943	SLC7A6
570	ENSRNOG00000023452	C1orf127
571	ENSRNOG00000002710	CNST
572	ENSRNOG00000003865	TMIGD1
573	ENSRNOG00000014996	KATNA1
574	ENSRNOG00000003526	SYTL4
575	ENSRNOG00000025318	SCYL3
576	ENSRNOG00000027341	TENM2
577	ENSRNOG00000026742	YPEL5
578	ENSRNOG00000018397	DNPH1
579	ENSRNOG00000047894	LIPH
580	ENSRNOG00000051006	UFSP1
581	ENSRNOG00000057569	AHNAK
582	ENSRNOG00000047453	CASD1
583	ENSRNOG00000055936	TRNP1
584	ENSRNOG00000007801	AC137834.1
585	ENSRNOG00000007801	R3HDM2
586	ENSRNOG00000015736	DHRS3
587	ENSRNOG00000010917	BMP5
588	ENSRNOG00000014044	PANK4
589	ENSRNOG00000005981	NT5C3A
590	ENSRNOG00000011348	SNX14
591	ENSRNOG00000024954	MGAT5B
592	ENSRNOG00000011912	TMEM38A
593	ENSRNOG00000003999	ADCY3
594	ENSRNOG00000029038	GEMIN8
595	ENSRNOG00000018988	ING5
596	ENSRNOG00000013764	FAM118A
597	ENSRNOG00000014054	ADAM7
598	ENSRNOG00000005776	BCL11B
599	ENSRNOG00000050494	AADACL2
600	ENSRNOG00000030776	SYTL2
601	ENSRNOG00000026754	USP47
602	ENSRNOG00000053633	RNASE1
603	ENSRNOG00000046941	SIRPB1
604	ENSRNOG00000046941	SIRPA
605	ENSRNOG00000046941	AL049634.2
606	ENSRNOG00000046941	SIRPG
607	ENSRNOG00000056836	CAV1
608	ENSRNOG00000011617	DGUOK
609	ENSRNOG00000020689	CPEB3
610	ENSRNOG00000021102	SCN1B
611	ENSRNOG00000010461	GPX8
612	ENSRNOG00000002358	SCPEP1
613	ENSRNOG00000016831	SERPINH1
614	ENSRNOG00000008484	PDCL
615	ENSRNOG00000010482	IMPA1
616	ENSRNOG00000010628	SEC13
617	ENSRNOG00000016265	ACSL5
618	ENSRNOG00000030575	IGKV1OR2-108
619	ENSRNOG00000006293	FOXI1
620	ENSRNOG00000000583	CDK19
621	ENSRNOG00000042524	MILR1
622	ENSRNOG00000002167	DMP1
623	ENSRNOG00000012616	PPT1
624	ENSRNOG00000014276	PLCE1
625	ENSRNOG00000014166	SMOC2
626	ENSRNOG00000015541	GNB3
627	ENSRNOG00000046905	SGCE
628	ENSRNOG00000024009	FFAR1
629	ENSRNOG00000054314	KCNG1
630	ENSRNOG00000000303	CEP57L1
631	ENSRNOG00000006932	DOCK2
632	ENSRNOG00000018132	HMGXB3
633	ENSRNOG00000008456	THOC5
634	ENSRNOG00000001218	KRTAP4-5
635	ENSRNOG00000001218	KRTAP10-6
636	ENSRNOG00000001218	KRTAP10-9
637	ENSRNOG00000001218	KRTAP9-1
638	ENSRNOG00000001218	KRTAP10-11
639	ENSRNOG00000001218	KRTAP10-4
640	ENSRNOG00000008508	ACRV1
641	ENSRNOG00000009397	KBTBD4
642	ENSRNOG00000020298	BAG3
643	ENSRNOG00000010798	BLK
644	ENSRNOG00000046666	HAUS1
645	ENSRNOG00000004926	METTL15
646	ENSRNOG00000001183	HNF1A
647	ENSRNOG00000015906	TGIF1
648	ENSRNOG00000003853	SCOC
649	ENSRNOG00000031564	H2AFZ
650	ENSRNOG00000018415	ACOT13
651	ENSRNOG00000040101	S100A11
652	ENSRNOG00000005660	FAM110C
653	ENSRNOG00000060175	TSEN2
654	ENSRNOG00000012985	PFDN5
655	ENSRNOG00000055889	CCDC40
656	ENSRNOG00000028803	CD209
657	ENSRNOG00000022257	TEX46
658	ENSRNOG00000007374	TAC1
659	ENSRNOG00000038459	ULK3
660	ENSRNOG00000001229	COL18A1
661	ENSRNOG00000047374	GNAS
662	ENSRNOG00000007229	NR0B2
663	ENSRNOG00000054978	HIST1H1C
664	ENSRNOG00000012579	TLCD1
665	ENSRNOG00000004131	PKN1
666	ENSRNOG00000036869	TMEM88B
667	ENSRNOG00000000605	HS3ST5
668	ENSRNOG00000022445	IQCF3
669	ENSRNOG00000022445	AC097636.2
670	ENSRNOG00000061425	COX14
671	ENSRNOG00000039214	C7orf43
672	ENSRNOG00000060774	RNU6-321P
673	ENSRNOG00000060774	RNU6-369P
674	ENSRNOG00000060774	RNU6-332P
675	ENSRNOG00000009594	SNAI1
676	ENSRNOG00000003524	LRRC59
677	ENSRNOG00000000073	TMED5
678	ENSRNOG00000017556	CHRM4
679	ENSRNOG00000017146	NFATC1
680	ENSRNOG00000010315	CCR4
681	ENSRNOG00000021787	ZNF217
682	ENSRNOG00000032885	CYCS
683	ENSRNOG00000017816	PDE6A
684	ENSRNOG00000000307	MICAL1
685	ENSRNOG00000056358	CCDC27
686	ENSRNOG00000004726	MAPKAPK2
687	ENSRNOG00000016312	CATSPER4
688	ENSRNOG00000059436	RNU6-281P
